propriétaire,registration,icao24,departure_date_only_utc,departure_date_utc,arrival_date_utc,airport_departure,airport_arrival,flight_duration_str,flight_duration_min,kerosene_litres,co2_emission_tonnes,distance_km,iso_country_dep,iso_country_arr,routes,airport_dep_icao,airport_arr_icao,latitude_dep,longitude_dep,latitude_arr,longitude_arr,altitude_dep_m,altitude_arr_m,path_csv
avion de location Valljet,F-HBZA,398720,2021-05-08,2021-05-08 06:54:41,2021-05-08 07:34:23,Paris-Le Bourget Airport,Laval-Entrammes Airport,40min,39.7,485.3,1.2,273.0,FR,FR,Paris-Le Bourget Airport - Laval-Entrammes Airport,LFPB,LFOV,48.968715,2.484921,47.733431,-0.696296,546.0,1318.0,output\F-HBZA\2021-05-08\leg_1\F-HBZA_baro_2021-05-08_leg_1.csv
avion de location Valljet,F-HBZA,398720,2021-04-30,2021-04-30 11:00:45,2021-04-30 11:32:18,"Châteauroux-Deols ""Marcel Dassault"" Airport",Paris-Le Bourget Airport,32min,31.53,385.4,1.0,227.0,FR,FR,"Châteauroux-Deols ""Marcel Dassault"" Airport - Paris-Le Bourget Airport",LFLX,LFPB,46.9986,1.562601,48.958121,2.407487,3078.0,126.0,output\F-HBZA\2021-04-30\leg_4\F-HBZA_baro_2021-04-30_leg_4.csv
avion de location Valljet,F-HBZA,398720,2021-04-30,2021-04-30 10:16:01,2021-04-30 10:34:23,Roanne-Renaison Airport,"Châteauroux-Deols ""Marcel Dassault"" Airport",18min,18.37,224.5,0.6,163.0,FR,FR,"Roanne-Renaison Airport - Châteauroux-Deols ""Marcel Dassault"" Airport",LFLO,LFLX,46.002104,3.924077,46.399371,1.895823,2217.0,3582.0,output\F-HBZA\2021-04-30\leg_3\F-HBZA_baro_2021-04-30_leg_3.csv
avion de location Valljet,F-HBZA,398720,2021-04-30,2021-04-30 09:14:54,2021-04-30 09:50:47,EuroAirport Basel-Mulhouse-Freiburg Airport,Saint-Yan Airport,36min,35.87,438.5,1.1,281.0,FR,FR,EuroAirport Basel-Mulhouse-Freiburg Airport - Saint-Yan Airport,LFSB,LFLN,47.654044,7.487037,46.393875,4.280861,1461.0,1920.0,output\F-HBZA\2021-04-30\leg_2\F-HBZA_baro_2021-04-30_leg_2.csv
avion de location Valljet,F-HBZA,398720,2021-04-30,2021-04-30 07:28:34,2021-04-30 08:15:18,Paris-Le Bourget Airport,EuroAirport Basel-Mulhouse-Freiburg Airport,47min,46.73,571.2,1.5,413.0,FR,FR,Paris-Le Bourget Airport - EuroAirport Basel-Mulhouse-Freiburg Airport,LFPB,LFSB,48.966904,2.483206,47.496074,7.59604,790.0,1178.0,output\F-HBZA\2021-04-30\leg_1\F-HBZA_baro_2021-04-30_leg_1.csv
avion de location Valljet,F-HBZA,398720,2021-04-29,2021-04-29 16:38:38,2021-04-29 17:17:01,Nantes Atlantique Airport,Paris-Le Bourget Airport,38min,38.38,469.1,1.2,336.0,FR,FR,Nantes Atlantique Airport - Paris-Le Bourget Airport,LFRS,LFPB,47.340823,-1.4095,48.960371,2.410957,3305.0,152.0,output\F-HBZA\2021-04-29\leg_4\F-HBZA_baro_2021-04-29_leg_4.csv
avion de location Valljet,F-HBZA,398720,2021-04-29,2021-04-29 14:12:44,2021-04-29 15:52:02,Cascais Airport,Les Sables-d'Olonne Talmont Airport,1h39min,99.3,1213.8,3.1,1069.0,PT,FR,Cascais Airport - Les Sables-d'Olonne Talmont Airport,LPCS,LFOO,38.707893,-9.430753,46.446441,-1.667088,927.0,1863.0,output\F-HBZA\2021-04-29\leg_3\F-HBZA_baro_2021-04-29_leg_3.csv
avion de location Valljet,F-HBZA,398720,2021-04-29,2021-04-29 09:45:24,2021-04-29 12:44:07,Geneva Cointrin International Airport,Cascais Airport,2h59min,178.72,2184.6,5.6,1516.0,CH,PT,Geneva Cointrin International Airport - Cascais Airport,LSGG,LPCS,46.214454,6.112987,38.693328,-9.320299,1034.0,747.0,output\F-HBZA\2021-04-29\leg_2\F-HBZA_baro_2021-04-29_leg_2.csv
avion de location Valljet,F-HBZA,398720,2021-04-29,2021-04-29 07:28:29,2021-04-29 08:18:02,Paris-Le Bourget Airport,Geneva Cointrin International Airport,50min,49.53,605.4,1.6,411.0,FR,CH,Paris-Le Bourget Airport - Geneva Cointrin International Airport,LFPB,LSGG,48.957894,2.399373,46.262097,6.149671,968.0,586.0,output\F-HBZA\2021-04-29\leg_1\F-HBZA_baro_2021-04-29_leg_1.csv
avion de location Valljet,F-HBZA,398720,2021-04-26,2021-04-26 10:15:35,2021-04-26 10:34:47,Rouen Airport,Paris-Le Bourget Airport,19min,19.18,234.4,0.6,88.0,FR,FR,Rouen Airport - Paris-Le Bourget Airport,LFOP,LFPB,49.281472,1.305095,48.959727,2.400577,1318.0,141.0,output\F-HBZA\2021-04-26\leg_2\F-HBZA_baro_2021-04-26_leg_2.csv
avion de location Valljet,F-HBZA,398720,2021-04-26,2021-04-26 09:40:27,2021-04-26 10:00:57,Paris-Le Bourget Airport,Rouen Airport,20min,20.5,250.6,0.6,112.0,FR,FR,Paris-Le Bourget Airport - Rouen Airport,LFPB,LFOP,48.963096,2.503321,49.302675,1.062536,866.0,739.0,output\F-HBZA\2021-04-26\leg_1\F-HBZA_baro_2021-04-26_leg_1.csv
avion de location Valljet,F-HBZA,398720,2021-04-23,2021-04-23 09:59:49,2021-04-23 11:20:48,Nice-Côte d'Azur Airport,Paris-Le Bourget Airport,1h21min,80.97,989.7,2.5,700.0,FR,FR,Nice-Côte d'Azur Airport - Paris-Le Bourget Airport,LFMN,LFPB,43.629106,7.247869,48.957869,2.398748,1567.0,92.0,output\F-HBZA\2021-04-23\leg_1\F-HBZA_baro_2021-04-23_leg_1.csv
avion de location Valljet,F-HBZA,398720,2021-04-09,2021-04-09 05:15:56,2021-04-09 06:35:45,Paris-Le Bourget Airport,Nice-Côte d'Azur Airport,1h20min,79.82,975.7,2.5,696.0,FR,FR,Paris-Le Bourget Airport - Nice-Côte d'Azur Airport,LFPB,LFMN,48.966397,2.488922,43.588324,7.128602,699.0,442.0,output\F-HBZA\2021-04-09\leg_1\F-HBZA_baro_2021-04-09_leg_1.csv
