propriétaire,registration,icao24,departure_date_only_utc,departure_date_utc,arrival_date_utc,airport_departure,airport_arrival,flight_duration_str,flight_duration_min,co2_emission_tonnes,distance_km,iso_country_dep,iso_country_arr,routes,airport_dep_icao,airport_arr_icao,latitude_dep,longitude_dep,latitude_arr,longitude_arr,altitude_dep_m,altitude_arr_m,path_csv
avion de Bernard Arnault,F-GVMA,395580,2022-05-18,2022-05-18 06:03:18.913000+00:00,2022-05-18 07:04:45.214000+00:00,Paris-Le Bourget Airport,Milano Linate Airport,1h01min,61.43,4.6,649.0,FR,IT,Paris-Le Bourget Airport - Milano Linate Airport,LFPB,LIML,48.972163,2.451397,45.440617,9.277552,120.0,103.0,output\F-GVMA\2022-05-18\leg_1\F-GVMA_2022-05-18_leg_1.csv
avion de Bernard Arnault,F-GVMA,395580,2022-05-14,2022-05-14 23:23:09.100000+00:00,2022-05-15 00:35:41.273000+00:00,Bologna Guglielmo Marconi Airport,Paris-Le Bourget Airport,1h13min,72.53,5.4,836.0,IT,FR,Bologna Guglielmo Marconi Airport - Paris-Le Bourget Airport,LIPE,LFPB,44.535828,11.287667,48.967647,2.434484,172.0,46.0,output\F-GVMA\2022-05-14\leg_3\F-GVMA_2022-05-14_leg_3_merged.csv
avion de Bernard Arnault,F-GVMA,395580,2022-05-14,2022-05-14 21:50:35.800000+00:00,2022-05-14 22:49:38+00:00,Bologna Guglielmo Marconi Airport,Bologna Guglielmo Marconi Airport,59min,59.03,4.4,1.0,IT,IT,Bologna Guglielmo Marconi Airport - Bologna Guglielmo Marconi Airport,LIPE,LIPE,44.535645,11.288191,44.538849,11.279297,70.0,40.0,output\F-GVMA\2022-05-14\leg_2\F-GVMA_2022-05-14_leg_2.csv
avion de Bernard Arnault,F-GVMA,395580,2022-05-14,2022-05-14 16:04:45.900000+00:00,2022-05-14 17:14:52+00:00,Paris-Le Bourget Airport,Bologna Guglielmo Marconi Airport,1h10min,70.1,5.3,832.0,FR,IT,Paris-Le Bourget Airport - Bologna Guglielmo Marconi Airport,LFPB,LIPE,48.964371,2.43312,44.549789,11.248692,52.0,181.0,output\F-GVMA\2022-05-14\leg_1\F-GVMA_2022-05-14_leg_1.csv
avion de Bernard Arnault,F-GVMA,395580,2022-05-13,2022-05-13 22:31:46.221000+00:00,2022-05-13 23:37:32.820000+00:00,Nice-Côte d'Azur Airport,Paris-Le Bourget Airport,1h06min,65.77,4.9,695.0,FR,FR,Nice-Côte d'Azur Airport - Paris-Le Bourget Airport,LFMN,LFPB,43.657247,7.217037,48.967368,2.433472,183.0,50.0,output\F-GVMA\2022-05-13\leg_2\F-GVMA_2022-05-13_leg_2.csv
avion de Bernard Arnault,F-GVMA,395580,2022-05-13,2022-05-13 15:55:33.320000+00:00,2022-05-13 16:57:19.221000+00:00,Paris-Le Bourget Airport,Nice-Côte d'Azur Airport,1h02min,61.75,4.6,695.0,FR,FR,Paris-Le Bourget Airport - Nice-Côte d'Azur Airport,LFPB,LFMN,48.972163,2.451397,43.646942,7.197322,62.0,66.0,output\F-GVMA\2022-05-13\leg_1\F-GVMA_2022-05-13_leg_1.csv
avion de Bernard Arnault,F-GVMA,395580,2022-05-08,2022-05-08 12:26:39.992000+00:00,2022-05-08 19:50:00.392000+00:00,Palm Beach International Airport,Paris-Le Bourget Airport,7h23min,443.33,33.2,7295.0,US,FR,Palm Beach International Airport - Paris-Le Bourget Airport,KPBI,LFPB,26.68277,-80.099038,48.966385,2.429739,70.0,50.0,output\F-GVMA\2022-05-08\leg_1\F-GVMA_2022-05-08_leg_1.csv
avion de Bernard Arnault,F-GVMA,395580,2022-05-06,2022-05-06 15:31:44.159000+00:00,2022-05-06 19:54:06.360000+00:00,Los Angeles International Airport,Palm Beach International Airport,4h22min,262.37,19.7,3749.0,US,US,Los Angeles International Airport - Palm Beach International Airport,KLAX,KPBI,33.938956,-118.388958,26.682083,-80.082403,134.0,24.0,output\F-GVMA\2022-05-06\leg_1\F-GVMA_2022-05-06_leg_1.csv
avion de Bernard Arnault,F-GVMA,395580,2022-05-04,2022-05-04 10:13:55.138000+00:00,2022-05-04 19:16:11.638000+00:00,Kansai International Airport,Los Angeles International Airport,9h02min,542.27,40.7,9239.0,JP,US,Kansai International Airport - Los Angeles International Airport,RJBB,KLAX,34.434265,135.254479,33.949756,-118.406067,65.0,36.0,output\F-GVMA\2022-05-04\leg_1\F-GVMA_2022-05-04_leg_1.csv
avion de Bernard Arnault,F-GVMA,395580,2022-05-03,2022-05-03 06:24:50.679000+00:00,2022-05-03 07:26:29.779000+00:00,Tokyo Haneda International Airport,Kansai International Airport,1h02min,61.65,4.6,429.0,JP,JP,Tokyo Haneda International Airport - Kansai International Airport,RJTT,RJBB,35.55767,139.768709,34.443023,135.267506,153.0,85.0,output\F-GVMA\2022-05-03\leg_1\F-GVMA_2022-05-03_leg_1.csv
avion de Bernard Arnault,F-GVMA,395580,2022-05-01,2022-05-01 13:22:41.466000+00:00,2022-05-02 02:05:12.832000+00:00,Paris-Le Bourget Airport,Tokyo Haneda International Airport,12h43min,762.52,57.2,9742.0,FR,JP,Paris-Le Bourget Airport - Tokyo Haneda International Airport,LFPB,RJTT,48.965973,2.428119,35.537746,139.80646,111.0,48.0,output\F-GVMA\2022-05-01\leg_2\F-GVMA_2022-05-01_leg_2_merged.csv
