long,lat,elevation,time
7.497042,46.914228,511,2022-08-01T15:45:06.170Z
7.496452,46.914688,526,2022-08-01T15:45:07.160Z
7.495216,46.915741,556,2022-08-01T15:45:09.210Z
7.494324,46.916473,587,2022-08-01T15:45:10.910Z
7.493169,46.917394,617,2022-08-01T15:45:12.760Z
7.492253,46.918185,648,2022-08-01T15:45:14.120Z
7.491371,46.9189,678,2022-08-01T15:45:15.960Z
7.490352,46.919768,709,2022-08-01T15:45:17.270Z
7.489366,46.920559,739,2022-08-01T15:45:18.860Z
7.488693,46.921097,754,2022-08-01T15:45:19.980Z
7.488098,46.921583,777,2022-08-01T15:45:20.830Z
7.487112,46.922421,808,2022-08-01T15:45:22.400Z
7.486408,46.92298,831,2022-08-01T15:45:23.690Z
7.485809,46.923477,853,2022-08-01T15:45:24.620Z
7.485422,46.923771,869,2022-08-01T15:45:25.200Z
7.484573,46.924438,892,2022-08-01T15:45:26.650Z
7.483802,46.925075,914,2022-08-01T15:45:28.120Z
7.482994,46.925766,937,2022-08-01T15:45:29.600Z
7.48183,46.926657,968,2022-08-01T15:45:31.710Z
7.481071,46.927231,983,2022-08-01T15:45:33.110Z
7.480351,46.927821,998,2022-08-01T15:45:34.600Z
7.479506,46.928473,1013,2022-08-01T15:45:36.110Z
7.4786,46.929199,1021,2022-08-01T15:45:37.940Z
7.476408,46.93094,1036,2022-08-01T15:45:42.000Z
7.475562,46.931639,1044,2022-08-01T15:45:43.670Z
7.474436,46.932523,1052,2022-08-01T15:45:45.610Z
7.473309,46.933454,1067,2022-08-01T15:45:47.700Z
7.47242,46.934097,1082,2022-08-01T15:45:49.110Z
7.470703,46.935456,1113,2022-08-01T15:45:52.200Z
7.469365,46.936527,1143,2022-08-01T15:45:54.450Z
7.468231,46.937439,1166,2022-08-01T15:45:56.350Z
7.466858,46.938538,1196,2022-08-01T15:45:58.740Z
7.465633,46.939506,1227,2022-08-01T15:46:00.840Z
7.464317,46.940552,1257,2022-08-01T15:46:03.140Z
7.462816,46.94174,1288,2022-08-01T15:46:05.560Z
7.461689,46.942671,1318,2022-08-01T15:46:07.670Z
7.460562,46.943556,1349,2022-08-01T15:46:09.620Z
7.459224,46.94472,1379,2022-08-01T15:46:11.970Z
7.458097,46.945651,1410,2022-08-01T15:46:14.080Z
7.457041,46.946582,1440,2022-08-01T15:46:16.100Z
7.455984,46.947559,1471,2022-08-01T15:46:18.060Z
7.454567,46.948792,1501,2022-08-01T15:46:20.720Z
7.452988,46.950211,1532,2022-08-01T15:46:23.500Z
7.451477,46.951516,1554,2022-08-01T15:46:26.120Z
7.450562,46.952401,1570,2022-08-01T15:46:27.560Z
7.449294,46.953472,1593,2022-08-01T15:46:29.660Z
7.448026,46.954589,1623,2022-08-01T15:46:31.650Z
7.446877,46.955658,1646,2022-08-01T15:46:33.610Z
7.445209,46.957103,1676,2022-08-01T15:46:36.020Z
7.443718,46.95845,1699,2022-08-01T15:46:38.140Z
7.442276,46.959732,1730,2022-08-01T15:46:40.380Z
7.440491,46.961292,1760,2022-08-01T15:46:42.830Z
7.439255,46.962433,1783,2022-08-01T15:46:44.630Z
7.438087,46.963486,1814,2022-08-01T15:46:46.200Z
7.436758,46.964644,1844,2022-08-01T15:46:48.110Z
7.435561,46.965715,1875,2022-08-01T15:46:49.600Z
7.434105,46.966965,1905,2022-08-01T15:46:51.500Z
7.432938,46.967972,1935,2022-08-01T15:46:53.050Z
7.431702,46.969025,1958,2022-08-01T15:46:54.560Z
7.430631,46.969998,1989,2022-08-01T15:46:56.070Z
7.429504,46.970947,2019,2022-08-01T15:46:57.380Z
7.428378,46.971906,2050,2022-08-01T15:46:58.840Z
7.42711,46.972977,2080,2022-08-01T15:47:00.430Z
7.426277,46.973648,2103,2022-08-01T15:47:01.520Z
7.424973,46.974747,2134,2022-08-01T15:47:02.960Z
7.423166,46.976282,2187,2022-08-01T15:47:05.120Z
7.421194,46.977911,2248,2022-08-01T15:47:07.580Z
7.4188,46.97996,2309,2022-08-01T15:47:10.500Z
7.416664,46.98175,2362,2022-08-01T15:47:13.070Z
7.414742,46.983398,2416,2022-08-01T15:47:15.300Z
7.412819,46.985092,2477,2022-08-01T15:47:17.860Z
7.410912,46.986756,2537,2022-08-01T15:47:20.140Z
7.408905,46.988525,2598,2022-08-01T15:47:22.610Z
7.406827,46.990387,2659,2022-08-01T15:47:25.190Z
7.404856,46.99211,2720,2022-08-01T15:47:27.630Z
7.402884,46.993925,2781,2022-08-01T15:47:30.080Z
7.400982,46.995648,2842,2022-08-01T15:47:32.520Z
7.399017,46.997543,2903,2022-08-01T15:47:34.980Z
7.396968,46.999465,2957,2022-08-01T15:47:37.610Z
7.394966,47.001434,3018,2022-08-01T15:47:40.150Z
7.393044,47.003265,3078,2022-08-01T15:47:42.560Z
7.391121,47.005188,3132,2022-08-01T15:47:45.070Z
7.389151,47.007146,3193,2022-08-01T15:47:47.590Z
7.38707,47.009216,3254,2022-08-01T15:47:50.230Z
7.385147,47.011139,3307,2022-08-01T15:47:52.650Z
7.383165,47.013198,3353,2022-08-01T15:47:55.190Z
7.381027,47.015854,3406,2022-08-01T15:47:58.140Z
7.379311,47.018509,3459,2022-08-01T15:48:01.150Z
7.378235,47.020833,3490,2022-08-01T15:48:03.280Z
7.377525,47.022675,3513,2022-08-01T15:48:04.960Z
7.377251,47.023544,3520,2022-08-01T15:48:05.890Z
7.376263,47.026884,3551,2022-08-01T15:48:08.790Z
7.374784,47.032005,3597,2022-08-01T15:48:13.170Z
7.373094,47.037452,3635,2022-08-01T15:48:17.700Z
7.37253,47.03936,3642,2022-08-01T15:48:19.230Z
7.371192,47.043504,3658,2022-08-01T15:48:22.470Z
7.369972,47.047348,3673,2022-08-01T15:48:25.480Z
7.369713,47.048159,3680,2022-08-01T15:48:26.210Z
7.369009,47.0503,3696,2022-08-01T15:48:27.540Z
7.36853,47.051651,3711,2022-08-01T15:48:28.590Z
7.368094,47.053,3719,2022-08-01T15:48:29.580Z
7.367638,47.054352,3734,2022-08-01T15:48:30.600Z
7.366951,47.056549,3764,2022-08-01T15:48:32.150Z
7.36591,47.059564,3802,2022-08-01T15:48:34.340Z
7.364136,47.064789,3879,2022-08-01T15:48:38.230Z
7.363727,47.066175,3894,2022-08-01T15:48:39.130Z
7.363037,47.068222,3917,2022-08-01T15:48:40.700Z
