propriétaire,registration,icao24,departure_date_only_utc,departure_date_utc,arrival_date_utc,airport_departure,airport_arrival,flight_duration_str,flight_duration_min,co2_emission_tonnes,distance_km,iso_country_dep,iso_country_arr,routes,airport_dep_icao,airport_arr_icao,latitude_dep,longitude_dep,latitude_arr,longitude_arr,altitude_dep_m,altitude_arr_m,path_csv
avion du groupe Pinault,F-HFHP,3994ef,2022-07-08,2022-07-08 16:12:02.500000+00:00,2022-07-08 16:35:27.100000+00:00,Boise Air Terminal/Gowen Field,Friedman Memorial Airport,23min,23.4,1.8,156.0,US,US,Boise Air Terminal/Gowen Field - Friedman Memorial Airport,KBOI,KSUN,43.560232,-116.20769,43.491382,-114.283447,961.0,2032.0,output\F-HFHP\2022-07-08\leg_1\F-HFHP_2022-07-08_leg_1.csv
avion du groupe Pinault,F-HFHP,3994ef,2022-07-07,2022-07-07 02:33:21.700000+00:00,2022-07-07 02:57:06.200000+00:00,Friedman Memorial Airport,Boise Air Terminal/Gowen Field,24min,23.73,1.8,156.0,US,US,Friedman Memorial Airport - Boise Air Terminal/Gowen Field,KSUN,KBOI,43.495292,-114.28724,43.562759,-116.215104,1795.0,869.0,output\F-HFHP\2022-07-07\leg_3\F-HFHP_2022-07-07_leg_3.csv
avion du groupe Pinault,F-HFHP,3994ef,2022-07-07,2022-07-07 00:41:15.200000+00:00,2022-07-07 00:56:38.800000+00:00,Boise Air Terminal/Gowen Field,Friedman Memorial Airport,15min,15.38,1.2,130.0,US,US,Boise Air Terminal/Gowen Field - Friedman Memorial Airport,KBOI,KSUN,43.560325,-116.207951,43.260452,-114.6576,871.0,3900.0,output\F-HFHP\2022-07-07\leg_2\F-HFHP_2022-07-07_leg_2.csv
avion du groupe Pinault,F-HFHP,3994ef,2022-07-06,2022-07-06 13:49:13.700000+00:00,2022-07-06 23:25:15.700000+00:00,Paris-Le Bourget Airport,Boise Air Terminal/Gowen Field,9h36min,576.03,43.2,8144.0,FR,US,Paris-Le Bourget Airport - Boise Air Terminal/Gowen Field,LFPB,KBOI,48.972209,2.451397,43.561396,-116.211025,110.0,868.0,output\F-HFHP\2022-07-06\leg_1\F-HFHP_2022-07-06_leg_1.csv
avion du groupe Pinault,F-HFHP,3994ef,2022-06-26,2022-06-26 20:36:22.202000+00:00,2022-06-26 21:21:22.001000+00:00,London Luton Airport,Paris-Le Bourget Airport,45min,44.98,3.4,380.0,GB,FR,London Luton Airport - Paris-Le Bourget Airport,EGGW,LFPB,51.873438,-0.375595,48.968066,2.436146,225.0,52.0,output\F-HFHP\2022-06-26\leg_2\F-HFHP_2022-06-26_leg_2.csv
avion du groupe Pinault,F-HFHP,3994ef,2022-06-26,2022-06-26 15:16:21.702000+00:00,2022-06-26 17:21:35.702000+00:00,Ciampino G. B. Pastine International Airport,London Luton Airport,2h05min,125.23,9.4,1489.0,IT,GB,Ciampino G. B. Pastine International Airport - London Luton Airport,LIRA,EGGW,41.803677,12.591865,51.875793,-0.361732,112.0,166.0,output\F-HFHP\2022-06-26\leg_1\F-HFHP_2022-06-26_leg_1.csv
avion du groupe Pinault,F-HFHP,3994ef,2022-06-24,2022-06-24 14:16:30.480000+00:00,2022-06-24 15:50:21.879000+00:00,Paris-Le Bourget Airport,Ciampino G. B. Pastine International Airport,1h34min,93.85,7.0,1123.0,FR,IT,Paris-Le Bourget Airport - Ciampino G. B. Pastine International Airport,LFPB,LIRA,48.972931,2.454177,41.801651,12.593266,159.0,112.0,output\F-HFHP\2022-06-24\leg_1\F-HFHP_2022-06-24_leg_1.csv
avion du groupe Pinault,F-HFHP,3994ef,2022-06-22,2022-06-22 11:48:54.598000+00:00,2022-06-22 13:14:56.698000+00:00,Venice Marco Polo Airport,Paris-Le Bourget Airport,1h26min,86.03,6.5,843.0,IT,FR,Venice Marco Polo Airport - Paris-Le Bourget Airport,LIPZ,LFPB,45.502853,12.348894,48.967508,2.434122,290.0,54.0,output\F-HFHP\2022-06-22\leg_1\F-HFHP_2022-06-22_leg_1.csv
avion du groupe Pinault,F-HFHP,3994ef,2022-06-21,2022-06-21 14:45:59.298000+00:00,2022-06-21 16:01:30.498000+00:00,Paris-Le Bourget Airport,Venice Marco Polo Airport,1h16min,75.52,5.7,843.0,FR,IT,Paris-Le Bourget Airport - Venice Marco Polo Airport,LFPB,LIPZ,48.964142,2.428824,45.509619,12.352485,139.0,154.0,output\F-HFHP\2022-06-21\leg_1\F-HFHP_2022-06-21_leg_1.csv
avion du groupe Pinault,F-HFHP,3994ef,2022-06-20,2022-06-20 09:01:59.085000+00:00,2022-06-20 10:39:10.885000+00:00,Ciampino G. B. Pastine International Airport,Paris-Le Bourget Airport,1h37min,97.18,7.3,1124.0,IT,FR,Ciampino G. B. Pastine International Airport - Paris-Le Bourget Airport,LIRA,LFPB,41.804282,12.591418,48.967368,2.433327,112.0,53.0,output\F-HFHP\2022-06-20\leg_2\F-HFHP_2022-06-20_leg_2.csv
