propriétaire,registration,icao24,departure_date_only_utc,departure_date_utc,arrival_date_utc,airport_departure,airport_arrival,flight_duration_str,flight_duration_min,co2_emission_tonnes,distance_km,iso_country_dep,iso_country_arr,routes,airport_dep_icao,airport_arr_icao,latitude_dep,longitude_dep,latitude_arr,longitude_arr,altitude_dep_m,altitude_arr_m,path_csv
avion #1 du groupe Bolloré,F-GBOL,3905cb,2022-06-03,2022-06-03 15:31:19.823000+00:00,2022-06-03 16:33:30.422000+00:00,Paris-Le Bourget Airport,Toulon-Hyères Airport,1h02min,62.17,4.9,715.0,FR,FR,Paris-Le Bourget Airport - Toulon-Hyères Airport,LFPB,LFTH,48.964156,2.428846,43.0578,6.080102,127.0,390.0,output\F-GBOL\2022-06-03\leg_1\F-GBOL_2022-06-03_leg_1.csv
avion #1 du groupe Bolloré,F-GBOL,3905cb,2022-06-02,2022-06-02 16:48:16.726000+00:00,2022-06-02 17:39:35.326000+00:00,Quimper-Cornouaille Airport,Paris-Le Bourget Airport,51min,51.3,4.0,498.0,FR,FR,Quimper-Cornouaille Airport - Paris-Le Bourget Airport,LFRQ,LFPB,47.974365,-4.145622,48.966483,2.430002,625.0,46.0,output\F-GBOL\2022-06-02\leg_3\F-GBOL_2022-06-02_leg_3.csv
avion #1 du groupe Bolloré,F-GBOL,3905cb,2022-06-02,2022-06-02 15:32:31.826000+00:00,2022-06-02 16:24:01.726000+00:00,Paris-Le Bourget Airport,Quimper-Cornouaille Airport,51min,51.48,4.0,503.0,FR,FR,Paris-Le Bourget Airport - Quimper-Cornouaille Airport,LFPB,LFRQ,48.964142,2.428964,47.976517,-4.213257,130.0,235.0,output\F-GBOL\2022-06-02\leg_2\F-GBOL_2022-06-02_leg_2.csv
avion #1 du groupe Bolloré,F-GBOL,3905cb,2022-06-02,2022-06-02 11:32:48.426000+00:00,2022-06-02 14:46:04.726000+00:00,A/C in cruise,Paris-Le Bourget Airport,3h13min,193.27,15.1,2957.0,A/C in cruise,FR,A/C in cruise - Paris-Le Bourget Airport,A/C in cruise,LFPB,24.780454,-11.795948,48.966888,2.43157,14261.0,54.0,output\F-GBOL\2022-06-02\leg_1\F-GBOL_2022-06-02_leg_1.csv
avion #1 du groupe Bolloré,F-GBOL,3905cb,2022-06-01,2022-06-01 07:40:58.458000+00:00,2022-06-01 11:29:19.158000+00:00,Paris-Le Bourget Airport,A/C in cruise,3h48min,228.33,17.9,3010.0,FR,A/C in cruise,Paris-Le Bourget Airport - A/C in cruise,LFPB,A/C in cruise,48.972163,2.451397,24.319075,-11.887103,134.0,14134.0,output\F-GBOL\2022-06-01\leg_1\F-GBOL_2022-06-01_leg_1.csv
avion #1 du groupe Bolloré,F-GBOL,3905cb,2022-05-31,2022-05-31 14:58:55.892000+00:00,2022-05-31 15:51:45.192000+00:00,Quimper-Cornouaille Airport,Paris-Le Bourget Airport,53min,52.82,4.1,501.0,FR,FR,Quimper-Cornouaille Airport - Paris-Le Bourget Airport,LFRQ,LFPB,47.975293,-4.174523,48.964737,2.439458,263.0,46.0,output\F-GBOL\2022-05-31\leg_2\F-GBOL_2022-05-31_leg_2.csv
avion #1 du groupe Bolloré,F-GBOL,3905cb,2022-05-31,2022-05-31 13:29:23.791000+00:00,2022-05-31 14:18:56.692000+00:00,Paris-Le Bourget Airport,Quimper-Cornouaille Airport,50min,49.53,3.9,498.0,FR,FR,Paris-Le Bourget Airport - Quimper-Cornouaille Airport,LFPB,LFRQ,48.972628,2.453059,47.972626,-4.111359,143.0,288.0,output\F-GBOL\2022-05-31\leg_1\F-GBOL_2022-05-31_leg_1.csv
avion #1 du groupe Bolloré,F-GBOL,3905cb,2022-05-18,2022-05-18 11:45:27.966000+00:00,2022-05-18 18:33:34.266000+00:00,Al Maktoum International Airport,Paris-Le Bourget Airport,6h48min,408.1,32.0,5267.0,AE,FR,Al Maktoum International Airport - Paris-Le Bourget Airport,OMDW,LFPB,24.89083,55.171682,48.965927,2.428119,189.0,62.0,output\F-GBOL\2022-05-18\leg_1\F-GBOL_2022-05-18_leg_1.csv
avion #1 du groupe Bolloré,F-GBOL,3905cb,2022-05-17,2022-05-17 17:37:38.726000+00:00,2022-05-17 23:44:35.426000+00:00,Paris-Le Bourget Airport,Al Maktoum International Airport,6h07min,366.93,28.7,5267.0,FR,AE,Paris-Le Bourget Airport - Al Maktoum International Airport,LFPB,OMDW,48.964109,2.428557,24.892226,55.16909,121.0,48.0,output\F-GBOL\2022-05-17\leg_1\F-GBOL_2022-05-17_leg_1.csv
avion #1 du groupe Bolloré,F-GBOL,3905cb,2022-04-27,2022-04-27 15:09:41.590000+00:00,2022-04-27 16:21:19.590000+00:00,Toulon-Hyères Airport,Paris-Le Bourget Airport,1h12min,71.63,5.6,712.0,FR,FR,Toulon-Hyères Airport - Paris-Le Bourget Airport,LFTH,LFPB,43.113098,6.178468,48.966018,2.428484,968.0,50.0,output\F-GBOL\2022-04-27\leg_2\F-GBOL_2022-04-27_leg_2.csv
