propriétaire,registration,icao24,departure_date_only_utc,departure_date_utc,arrival_date_utc,airport_departure,airport_arrival,flight_duration_str,flight_duration_min,co2_emission_tonnes,distance_km,iso_country_dep,iso_country_arr,routes,airport_dep_icao,airport_arr_icao,latitude_dep,longitude_dep,latitude_arr,longitude_arr,altitude_dep_m,altitude_arr_m,path_csv
avion du groupe Pinault,F-HFHP,3994ef,2022-08-07,2022-08-07 15:42:23.480000+00:00,2022-08-07 16:14:12.180000+00:00,Argyle International Airport,Martinique Aime Cesaire International Airport,32min,31.8,2.4,158.0,VC,MQ,Argyle International Airport - Martinique Aime Cesaire International Airport,TVSA,TFFF,13.167023,-61.14583,14.59099,-61.0032,383.0,0.0,output\F-HFHP\2022-08-07\leg_2\F-HFHP_baro_2022-08-07_leg_2.csv
avion du groupe Pinault,F-HFHP,3994ef,2022-08-07,2022-08-07 07:02:27.199000+00:00,2022-08-07 14:23:32.580000+00:00,Los Angeles International Airport,Argyle International Airport,7h21min,441.08,33.1,6194.0,US,VC,Los Angeles International Airport - Argyle International Airport,KLAX,TVSA,33.938965,-118.388784,13.131775,-61.159894,38.0,164.0,output\F-HFHP\2022-08-07\leg_1\F-HFHP_baro_2022-08-07_leg_1.csv
avion #2 du groupe Bolloré,F-HVBL,39d42b,2022-08-01,2022-08-01 15:45:06.170000+00:00,2022-08-01 16:33:07.960000+00:00,Bern Belp Airport,Paris-Le Bourget Airport,48min,48.02,2.5,441.0,CH,FR,Bern Belp Airport - Paris-Le Bourget Airport,LSZB,LFPB,46.914228,7.497042,48.964783,2.440866,531.0,15.0,output\F-HVBL\2022-08-01\leg_2\F-HVBL_baro_2022-08-01_leg_2.csv
avion #2 du groupe Bolloré,F-HVBL,39d42b,2022-08-01,2022-08-01 14:06:21.890000+00:00,2022-08-01 14:47:19.380000+00:00,Paris-Le Bourget Airport,Bern Belp Airport,41min,40.95,2.1,442.0,FR,CH,Paris-Le Bourget Airport - Bern Belp Airport,LFPB,LSZB,48.969681,2.442064,46.90934,7.503028,76.0,484.0,output\F-HVBL\2022-08-01\leg_1\F-HVBL_baro_2022-08-01_leg_1.csv
avion #2 du groupe Bolloré,F-HVBL,39d42b,2022-07-31,2022-07-31 16:13:39.290000+00:00,2022-07-31 18:15:11.250000+00:00,Falcone Borsellino Airport,Paris-Le Bourget Airport,2h02min,121.52,6.3,1472.0,IT,FR,Falcone Borsellino Airport - Paris-Le Bourget Airport,LICJ,LFPB,38.177956,13.097196,48.964874,2.442275,20.0,19.0,output\F-HVBL\2022-07-31\leg_3\F-HVBL_baro_2022-07-31_leg_3.csv
avion #2 du groupe Bolloré,F-HVBL,39d42b,2022-07-31,2022-07-31 13:34:37.010000+00:00,2022-07-31 14:54:05.510000+00:00,Chambery-Savoie Airport,Falcone Borsellino Airport,1h19min,79.47,4.1,1023.0,FR,IT,Chambery-Savoie Airport - Falcone Borsellino Airport,LFLB,LICJ,45.656021,5.879829,38.178189,13.097912,744.0,15.0,output\F-HVBL\2022-07-31\leg_2\F-HVBL_baro_2022-07-31_leg_2.csv
avion #2 du groupe Bolloré,F-HVBL,39d42b,2022-07-31,2022-07-31 10:31:39.610000+00:00,2022-07-31 11:24:10.360000+00:00,Paris-Le Bourget Airport,Chambery-Savoie Airport,52min,52.5,2.7,452.0,FR,FR,Paris-Le Bourget Airport - Chambery-Savoie Airport,LFPB,LFLB,48.970161,2.443952,45.641944,5.883179,61.0,246.0,output\F-HVBL\2022-07-31\leg_1\F-HVBL_baro_2022-07-31_leg_1.csv
avion #2 du groupe Bolloré,F-HVBL,39d42b,2022-07-30,2022-07-30 17:06:00.990000+00:00,2022-07-30 18:14:13.310000+00:00,Toulon-Hyères Airport,Paris-Le Bourget Airport,1h08min,68.2,3.5,711.0,FR,FR,Toulon-Hyères Airport - Paris-Le Bourget Airport,LFTH,LFPB,43.121292,6.195331,48.964783,2.440866,861.0,8.0,output\F-HVBL\2022-07-30\leg_2\F-HVBL_baro_2022-07-30_leg_2.csv
avion #2 du groupe Bolloré,F-HVBL,39d42b,2022-07-30,2022-07-30 15:34:32.940000+00:00,2022-07-30 16:36:40.420000+00:00,Paris-Le Bourget Airport,Toulon-Hyères Airport,1h02min,62.12,3.2,715.0,FR,FR,Paris-Le Bourget Airport - Toulon-Hyères Airport,LFPB,LFTH,48.969498,2.441218,43.057663,6.078186,112.0,415.0,output\F-HVBL\2022-07-30\leg_1\F-HVBL_baro_2022-07-30_leg_1.csv
avion de Bernard Arnault,F-GVMA,395580,2022-07-29,2022-07-29 08:26:58.800000+00:00,2022-07-29 09:05:59.220000+00:00,Paris-Le Bourget Airport,London Biggin Hill Airport,39min,39.0,2.9,314.0,FR,GB,Paris-Le Bourget Airport - London Biggin Hill Airport,LFPB,EGKB,48.972473,2.452486,51.333153,0.034103,48.0,114.0,output\F-GVMA\2022-07-29\leg_1\F-GVMA_baro_2022-07-29_leg_1.csv
avion du groupe Pinault,F-HFHP,3994ef,2022-07-29,2022-07-29 06:50:43.440000+00:00,2022-07-29 15:50:26.800000+00:00,Paris-Le Bourget Airport,Boeing Field King County International Airport,8h60min,539.72,40.5,8065.0,FR,US,Paris-Le Bourget Airport - Boeing Field King County International Airport,LFPB,KBFI,48.970734,2.445937,47.52388,-122.297264,76.0,0.0,output\F-HFHP\2022-07-29\leg_1\F-HFHP_baro_2022-07-29_leg_1.csv
avion #2 du groupe Bolloré,F-HVBL,39d42b,2022-07-24,2022-07-24 16:54:37.440000+00:00,2022-07-24 17:57:06.350000+00:00,Le Castellet Airport,Paris-Le Bourget Airport,1h02min,62.47,3.2,689.0,FR,FR,Le Castellet Airport - Paris-Le Bourget Airport,LFMQ,LFPB,43.224405,5.801108,48.964761,2.440916,1049.0,54.0,output\F-HVBL\2022-07-24\leg_2\F-HVBL_baro_2022-07-24_leg_2.csv
avion #2 du groupe Bolloré,F-HVBL,39d42b,2022-07-24,2022-07-24 10:45:45.167000+00:00,2022-07-24 11:44:44.907000+00:00,Paris-Le Bourget Airport,Le Castellet Airport,59min,58.98,3.1,682.0,FR,FR,Paris-Le Bourget Airport - Le Castellet Airport,LFPB,LFMQ,48.970551,2.445374,43.276566,5.729753,69.0,686.0,output\F-HVBL\2022-07-24\leg_1\F-HVBL_baro_2022-07-24_leg_1.csv
avion du groupe Pinault,F-HFHP,3994ef,2022-07-22,2022-07-22 17:11:51.650000+00:00,2022-07-22 17:51:00.954000+00:00,Dinard-Pleurtuit-Saint-Malo Airport,Paris-Le Bourget Airport,39min,39.15,2.9,334.0,FR,FR,Dinard-Pleurtuit-Saint-Malo Airport - Paris-Le Bourget Airport,LFRD,LFPB,48.582687,-2.078599,48.966705,2.430866,8.0,26.0,output\F-HFHP\2022-07-22\leg_3\F-HFHP_baro_2022-07-22_leg_3.csv
avion du groupe Pinault,F-HFHP,3994ef,2022-07-22,2022-07-22 14:33:30.500000+00:00,2022-07-22 16:30:05.100000+00:00,Ciampino G. B. Pastine International Airport,Dinard-Pleurtuit-Saint-Malo Airport,1h57min,116.57,8.7,1374.0,IT,FR,Ciampino G. B. Pastine International Airport - Dinard-Pleurtuit-Saint-Malo Airport,LIRA,LFRD,41.803986,12.591643,48.583684,-2.078873,84.0,8.0,output\F-HFHP\2022-07-22\leg_2\F-HFHP_baro_2022-07-22_leg_2.csv
avion du groupe Bouygues,F-HMBY,39b038,2022-07-22,2022-07-22 11:36:08.355000+00:00,2022-07-22 12:05:41.345000+00:00,Rouen Airport,Paris-Le Bourget Airport,30min,29.53,2.3,102.0,FR,FR,Rouen Airport - Paris-Le Bourget Airport,LFOP,LFPB,49.388852,1.180958,48.963458,2.418944,193.0,50.0,output\F-HMBY\2022-07-22\leg_2\F-HMBY_baro_2022-07-22_leg_2.csv
avion du groupe Bouygues,F-HMBY,39b038,2022-07-22,2022-07-22 10:48:30.925000+00:00,2022-07-22 11:17:44.785000+00:00,Paris-Le Bourget Airport,Rouen Airport,29min,29.22,2.3,104.0,FR,FR,Paris-Le Bourget Airport - Rouen Airport,LFPB,LFOP,48.964947,2.442723,49.377411,1.165607,155.0,156.0,output\F-HMBY\2022-07-22\leg_1\F-HMBY_baro_2022-07-22_leg_1.csv
avion du groupe Pinault,F-HFHP,3994ef,2022-07-22,2022-07-22 05:15:02.970000+00:00,2022-07-22 06:46:29.100000+00:00,Paris-Le Bourget Airport,Ciampino G. B. Pastine International Airport,1h31min,91.43,6.9,1123.0,FR,IT,Paris-Le Bourget Airport - Ciampino G. B. Pastine International Airport,LFPB,LIRA,48.96492,2.442627,41.80069,12.593953,140.0,76.0,output\F-HFHP\2022-07-22\leg_1\F-HFHP_baro_2022-07-22_leg_1.csv
avion #1 du groupe Bolloré,F-GBOL,3905cb,2022-07-21,2022-07-21 17:16:10.020000+00:00,2022-07-21 21:30:26.450000+00:00,Niamtougou International Airport,Paris-Le Bourget Airport,4h14min,254.27,19.9,4346.0,TG,FR,Niamtougou International Airport - Paris-Le Bourget Airport,DXNG,LFPB,9.7778964,1.095675,48.964645,2.42326,975.0,12.0,output\F-GBOL\2022-07-21\leg_2\F-GBOL_baro_2022-07-21_leg_2.csv
avion du groupe JC-Decaux,F-HJJJ,39a529,2022-07-21,2022-07-21 16:54:44.370000+00:00,2022-07-21 18:29:04.320000+00:00,Figari Sud-Corse Airport,Paris-Le Bourget Airport,1h34min,94.32,4.1,981.0,FR,FR,Figari Sud-Corse Airport - Paris-Le Bourget Airport,LFKF,LFPB,41.488632,9.07839,48.964575,2.422991,556.0,19.0,output\F-HJJJ\2022-07-21\leg_2\F-HJJJ_baro_2022-07-21_leg_2.csv
