long,lat,elevation,time
5.801108,43.224405,1036,2022-07-24T16:54:37.440Z
5.801108,43.224405,1036,2022-07-24T16:54:37.440Z
5.798993,43.223145,1074,2022-07-24T16:54:40.170Z
5.797904,43.222636,1090,2022-07-24T16:54:41.580Z
5.795096,43.221634,1128,2022-07-24T16:54:45.090Z
5.793755,43.221313,1143,2022-07-24T16:54:46.250Z
5.792149,43.221006,1166,2022-07-24T16:54:48.210Z
5.790498,43.22081,1181,2022-07-24T16:54:49.950Z
5.788198,43.220673,1204,2022-07-24T16:54:52.410Z
5.78646,43.220727,1219,2022-07-24T16:54:54.370Z
5.784629,43.220913,1242,2022-07-24T16:54:56.390Z
5.782798,43.221286,1265,2022-07-24T16:54:58.370Z
5.766514,43.227058,1433,2022-07-24T16:55:15.350Z
5.761243,43.22905,1486,2022-07-24T16:55:20.590Z
5.759008,43.229828,1501,2022-07-24T16:55:22.610Z
5.756772,43.230652,1532,2022-07-24T16:55:24.690Z
5.754473,43.231522,1554,2022-07-24T16:55:26.390Z
5.752389,43.232272,1577,2022-07-24T16:55:28.340Z
5.750035,43.233156,1600,2022-07-24T16:55:30.530Z
5.747383,43.234131,1631,2022-07-24T16:55:32.770Z
5.744673,43.235112,1661,2022-07-24T16:55:34.900Z
5.742188,43.236043,1684,2022-07-24T16:55:36.750Z
5.738656,43.237346,1715,2022-07-24T16:55:39.650Z
5.736106,43.238277,1745,2022-07-24T16:55:41.720Z
5.733586,43.239212,1768,2022-07-24T16:55:43.510Z
5.731031,43.240128,1791,2022-07-24T16:55:45.660Z
5.729043,43.240884,1806,2022-07-24T16:55:46.930Z
5.726687,43.24173,1829,2022-07-24T16:55:48.710Z
5.723366,43.242966,1859,2022-07-24T16:55:51.610Z
5.719981,43.244247,1890,2022-07-24T16:55:53.510Z
5.717106,43.2453,1920,2022-07-24T16:55:55.550Z
5.713465,43.246674,1951,2022-07-24T16:55:58.010Z
5.710406,43.24782,1981,2022-07-24T16:55:59.980Z
5.707397,43.248891,2012,2022-07-24T16:56:01.940Z
5.703212,43.250474,2050,2022-07-24T16:56:04.830Z
5.701074,43.251251,2073,2022-07-24T16:56:06.210Z
5.698647,43.252167,2096,2022-07-24T16:56:07.740Z
5.696794,43.252853,2118,2022-07-24T16:56:09.040Z
5.692095,43.25457,2172,2022-07-24T16:56:11.890Z
5.686766,43.256561,2225,2022-07-24T16:56:15.580Z
5.682678,43.258062,2286,2022-07-24T16:56:17.990Z
5.678885,43.259458,2332,2022-07-24T16:56:20.400Z
5.675092,43.260855,2393,2022-07-24T16:56:22.890Z
5.671169,43.262298,2454,2022-07-24T16:56:25.230Z
5.667572,43.263648,2515,2022-07-24T16:56:27.620Z
5.663779,43.265045,2576,2022-07-24T16:56:30.010Z
5.659398,43.266674,2637,2022-07-24T16:56:32.850Z
5.656847,43.267558,2682,2022-07-24T16:56:34.380Z
5.652785,43.269104,2736,2022-07-24T16:56:37.010Z
5.648673,43.270584,2797,2022-07-24T16:56:39.550Z
5.64488,43.271981,2850,2022-07-24T16:56:42.030Z
5.641087,43.273377,2903,2022-07-24T16:56:44.320Z
5.637817,43.274588,2949,2022-07-24T16:56:46.610Z
5.634678,43.275752,2995,2022-07-24T16:56:48.460Z
5.630621,43.277206,3048,2022-07-24T16:56:51.040Z
5.626504,43.278731,3109,2022-07-24T16:56:53.750Z
5.622381,43.280273,3162,2022-07-24T16:56:56.170Z
