propriétaire,registration,icao24,departure_date_only_utc,departure_date_utc,arrival_date_utc,airport_departure,airport_arrival,flight_duration_str,flight_duration_min,kerosene_litres,co2_emission_tonnes,distance_km,iso_country_dep,iso_country_arr,routes,airport_dep_icao,airport_arr_icao,latitude_dep,longitude_dep,latitude_arr,longitude_arr,altitude_dep_m,altitude_arr_m,path_csv
Valljet,F-HJAV,39A415,2021-11-21,2021-11-21 14:32:58.228000+00:00,2021-11-21 14:57:32.028000+00:00,Nice-Côte d'Azur Airport,Turin Airport,25min,24.55,208.3,0.5,171.0,FR,IT,Nice-Côte d'Azur Airport - Turin Airport,LFMN,LIMF,43.664795,7.280295,45.18306,7.648512,960.0,381.0,output\F-HJAV\2021-11-21\leg_1\F-HJAV_baro_2021-11-21_leg_1.csv
Valljet,F-HJAV,39A415,2021-11-20,2021-11-20 13:39:13.125000+00:00,2021-11-20 15:42:16.925000+00:00,Berlin-Schonefeld Airport,Nice-Côte d'Azur Airport,2h03min,123.05,1044.3,2.7,1080.0,DE,FR,Berlin-Schonefeld Airport - Nice-Côte d'Azur Airport,EDDB,LFMN,52.373016,13.507538,43.626526,7.169282,-5.0,224.0,output\F-HJAV\2021-11-20\leg_1\F-HJAV_baro_2021-11-20_leg_1.csv
Valljet,F-HJAV,39A415,2021-11-18,2021-11-18 15:01:48.214000+00:00,2021-11-18 15:41:03.113000+00:00,Hamburg Airport,Berlin-Schonefeld Airport,39min,39.23,332.9,0.9,275.0,DE,DE,Hamburg Airport - Berlin-Schonefeld Airport,EDDH,EDDB,53.632042,9.994489,52.376038,13.520279,-46.0,-34.0,output\F-HJAV\2021-11-18\leg_2\F-HJAV_baro_2021-11-18_leg_2.csv
Valljet,F-HJAV,39A415,2021-11-18,2021-11-18 11:18:43.814000+00:00,2021-11-18 13:38:27.613000+00:00,Nice-Côte d'Azur Airport,Hamburg Airport,2h20min,139.72,1185.8,3.0,1126.0,FR,DE,Nice-Côte d'Azur Airport - Hamburg Airport,LFMN,EDDH,43.663392,7.266606,53.632187,9.991987,775.0,-53.0,output\F-HJAV\2021-11-18\leg_1\F-HJAV_baro_2021-11-18_leg_1.csv
Valljet,F-HJAV,39A415,2021-11-15,2021-11-15 15:02:47.370000+00:00,2021-11-15 16:53:31.370000+00:00,Adolfo Suarez Madrid-Barajas Airport,Nice-Côte d'Azur Airport,1h51min,110.73,939.7,2.4,952.0,ES,FR,Adolfo Suarez Madrid-Barajas Airport - Nice-Côte d'Azur Airport,LEMD,LFMN,40.509478,-3.559258,43.622845,7.169756,617.0,232.0,output\F-HJAV\2021-11-15\leg_2\F-HJAV_baro_2021-11-15_leg_2.csv
Valljet,F-HJAV,39A415,2021-11-15,2021-11-15 12:16:42.370000+00:00,2021-11-15 14:02:07.970000+00:00,Nice-Côte d'Azur Airport,Adolfo Suarez Madrid-Barajas Airport,1h45min,105.42,894.7,2.3,962.0,FR,ES,Nice-Côte d'Azur Airport - Adolfo Suarez Madrid-Barajas Airport,LFMN,LEMD,43.653717,7.266562,40.46395,-3.554826,968.0,568.0,output\F-HJAV\2021-11-15\leg_1\F-HJAV_baro_2021-11-15_leg_1.csv
Valljet,F-HJAV,39A415,2021-11-11,2021-11-11 17:43:43.133000+00:00,2021-11-11 19:27:33.733000+00:00,Alicante International Airport,Nice-Côte d'Azur Airport,1h44min,103.83,881.2,2.3,880.0,ES,FR,Alicante International Airport - Nice-Côte d'Azur Airport,LEAL,LFMN,38.282089,-0.55779,43.627945,7.176947,76.0,164.0,output\F-HJAV\2021-11-11\leg_1\F-HJAV_baro_2021-11-11_leg_1.csv
Valljet,F-HJAV,39A415,2021-11-10,2021-11-10 18:33:14.994000+00:00,2021-11-10 20:20:50.994000+00:00,Nice-Côte d'Azur Airport,Alicante International Airport,1h48min,107.6,913.2,2.3,889.0,FR,ES,Nice-Côte d'Azur Airport - Alicante International Airport,LFMN,LEAL,43.669281,7.257236,38.284241,-0.573101,780.0,38.0,output\F-HJAV\2021-11-10\leg_2\F-HJAV_baro_2021-11-10_leg_2.csv
Valljet,F-HJAV,39A415,2021-11-10,2021-11-10 15:30:26.394000+00:00,2021-11-10 17:07:49.094000+00:00,Antwerp International Airport (Deurne),Nice-Côte d'Azur Airport,1h37min,97.37,826.3,2.1,865.0,BE,FR,Antwerp International Airport (Deurne) - Nice-Côte d'Azur Airport,EBAW,LFMN,51.188461,4.469877,43.62529,7.173434,-38.0,144.0,output\F-HJAV\2021-11-10\leg_1\F-HJAV_baro_2021-11-10_leg_1.csv
Valljet,F-HJAV,39A415,2021-11-09,2021-11-09 18:54:08.767000+00:00,2021-11-09 20:20:26.267000+00:00,Nice-Côte d'Azur Airport,Antwerp International Airport (Deurne),1h26min,86.28,732.2,1.9,862.0,FR,BE,Nice-Côte d'Azur Airport - Antwerp International Airport (Deurne),LFMN,EBAW,43.670471,7.245164,51.188934,4.467697,500.0,-95.0,output\F-HJAV\2021-11-09\leg_3\F-HJAV_baro_2021-11-09_leg_3.csv
