propriétaire,registration,icao24,departure_date_only_utc,departure_date_utc,arrival_date_utc,airport_departure,airport_arrival,flight_duration_str,flight_duration_min,kerosene_litres,co2_emission_tonnes,distance_km,iso_country_dep,iso_country_arr,routes,airport_dep_icao,airport_arr_icao,latitude_dep,longitude_dep,latitude_arr,longitude_arr,altitude_dep_m,altitude_arr_m,path_csv
avion de location Valljet,F-HFKF,399545,2022-08-31,2022-08-31 15:23:58,2022-08-31 18:30:11,Humberto Delgado Airport (Lisbon Portela Airport),Batajnica Air Base,3h06min,186.2,4752.4,12.2,2502.0,PT,RS,Humberto Delgado Airport (Lisbon Portela Airport) - Batajnica Air Base,LPPT,LYBT,38.807488,-9.121317,44.927658,20.06841,460.0,1097.0,output\F-HFKF\2022-08-31\leg_2\F-HFKF_baro_2022-08-31_leg_2.csv
avion de location Valljet,F-HFKF,399545,2022-08-31,2022-08-31 11:46:20,2022-08-31 14:00:42,Paris-Le Bourget Airport,Humberto Delgado Airport (Lisbon Portela Airport),2h14min,134.37,3429.6,8.8,1467.0,FR,PT,Paris-Le Bourget Airport - Humberto Delgado Airport (Lisbon Portela Airport),LFPB,LPPT,48.967526,2.499176,38.761081,-9.146635,665.0,102.0,output\F-HFKF\2022-08-31\leg_1\F-HFKF_baro_2022-08-31_leg_1.csv
avion de location Valljet,F-HFKF,399545,2022-08-28,2022-08-28 17:54:46,2022-08-28 18:52:34,Toulouse-Blagnac Airport,Paris-Le Bourget Airport,58min,57.78,1474.7,3.8,594.0,FR,FR,Toulouse-Blagnac Airport - Paris-Le Bourget Airport,LFBO,LFPB,43.653769,1.336648,48.952763,2.381738,907.0,202.0,output\F-HFKF\2022-08-28\leg_3\F-HFKF_baro_2022-08-28_leg_3.csv
avion de location Valljet,F-HFKF,399545,2022-08-28,2022-08-28 15:54:33,2022-08-28 16:41:50,Nantes Atlantique Airport,Toulouse-Blagnac Airport,47min,47.27,1206.5,3.1,456.0,FR,FR,Nantes Atlantique Airport - Toulouse-Blagnac Airport,LFRS,LFBO,47.136759,-1.531176,43.595621,1.402034,1470.0,362.0,output\F-HFKF\2022-08-28\leg_2\F-HFKF_baro_2022-08-28_leg_2.csv
avion de location Valljet,F-HFKF,399545,2022-08-28,2022-08-28 08:48:08,2022-08-28 11:44:29,A/C in cruise,Nantes Atlantique Airport,2h56min,176.35,4501.0,11.5,1153.0,A/C in cruise,FR,A/C in cruise - Nantes Atlantique Airport,A/C in cruise,LFRS,36.898095,-3.593843,47.176853,-1.665695,7315.0,408.0,output\F-HFKF\2022-08-28\leg_1\F-HFKF_baro_2022-08-28_leg_1_break_2.csv
avion de location Valljet,F-HFKF,399545,2022-08-28,2022-08-28 05:39:38,2022-08-28 06:55:36,Nantes Atlantique Airport,A/C in cruise,1h16min,75.97,1939.0,5.0,899.0,FR,A/C in cruise,Nantes Atlantique Airport - A/C in cruise,LFRS,A/C in cruise,47.201193,-1.665913,39.12815,-2.433361,1450.0,11270.0,output\F-HFKF\2022-08-28\leg_1\F-HFKF_baro_2022-08-28_leg_1_break_1.csv
avion de location Valljet,F-HFKF,399545,2022-08-27,2022-08-27 15:11:09,2022-08-27 15:56:01,Toulouse-Blagnac Airport,Nantes Atlantique Airport,45min,44.85,1144.7,2.9,447.0,FR,FR,Toulouse-Blagnac Airport - Nantes Atlantique Airport,LFBO,LFRS,43.649676,1.344717,47.059379,-1.672083,553.0,518.0,output\F-HFKF\2022-08-27\leg_2\F-HFKF_baro_2022-08-27_leg_2.csv
avion de location Valljet,F-HFKF,399545,2022-08-27,2022-08-27 12:14:41,2022-08-27 12:44:10,A/C in cruise,Toulouse-Blagnac Airport,29min,29.48,752.4,1.9,305.0,A/C in cruise,FR,A/C in cruise - Toulouse-Blagnac Airport,A/C in cruise,LFBO,42.456709,-2.002481,43.599856,1.396653,10361.0,301.0,output\F-HFKF\2022-08-27\leg_1\F-HFKF_baro_2022-08-27_leg_1_break_2.csv
avion de location Valljet,F-HFKF,399545,2022-08-27,2022-08-27 07:49:18,2022-08-27 10:29:25,A/C in cruise,A/C in cruise,2h40min,160.12,4086.8,10.5,1995.0,A/C in cruise,A/C in cruise,A/C in cruise - A/C in cruise,A/C in cruise,A/C in cruise,44.318671,22.768747,42.210572,-1.722456,8280.0,11278.0,output\F-HFKF\2022-08-27\leg_1\F-HFKF_baro_2022-08-27_leg_1_break_1.csv
avion de location Valljet,F-HFKF,399545,2022-08-26,2022-08-26 07:25:41,2022-08-26 13:04:18,A/C in cruise,A/C in cruise,5h39min,338.62,8642.7,22.2,2706.0,A/C in cruise,A/C in cruise,A/C in cruise - A/C in cruise,A/C in cruise,A/C in cruise,36.212083,-8.604343,44.686206,21.538127,10965.0,10062.0,output\F-HFKF\2022-08-26\leg_1\F-HFKF_baro_2022-08-26_leg_1.csv
avion de location Valljet,F-HFKF,399545,2022-08-25,2022-08-25 13:17:59,2022-08-25 15:42:23,Paris-Le Bourget Airport,A/C in cruise,2h24min,144.4,3685.6,9.5,1730.0,FR,A/C in cruise,Paris-Le Bourget Airport - A/C in cruise,LFPB,A/C in cruise,48.953456,2.386111,35.993879,-9.371746,717.0,11278.0,output\F-HFKF\2022-08-25\leg_1\F-HFKF_baro_2022-08-25_leg_1.csv
avion de location Valljet,F-HFKF,399545,2022-08-21,2022-08-21 01:26:54,2022-08-21 02:03:44,Saint-Nazaire-Montoir Airport,Paris-Le Bourget Airport,37min,36.82,939.8,2.4,382.0,FR,FR,Saint-Nazaire-Montoir Airport - Paris-Le Bourget Airport,LFRZ,LFPB,47.376766,-2.204872,48.946174,2.364661,1727.0,244.0,output\F-HFKF\2022-08-21\leg_2\F-HFKF_baro_2022-08-21_leg_2.csv
avion de location Valljet,F-HFKF,399545,2022-08-20,2022-08-20 23:35:31,2022-08-21 00:38:48,Marseille Provence Airport,Saint-Nazaire-Montoir Airport,1h03min,63.28,1615.1,4.1,660.0,FR,FR,Marseille Provence Airport - Saint-Nazaire-Montoir Airport,LFML,LFRZ,43.512616,4.352429,47.317552,-2.123416,5542.0,46.0,output\F-HFKF\2022-08-20\leg_1\F-HFKF_baro_2022-08-20_leg_1_merged.csv
